"A1BG" "A1CF" "A2M" "A2ML1" "A4GALT" "A4GNT" "AAAS" "AACS" "AADAC" "AADACL2" "AADACL3" "AADACL4" "AADAT" "AAGAB" "AAK1" "AAMP" "AANAT" "AARS" "AARS2" "AARSD1" "AASDH" "AASDHPPT" "AASS" "AATF" "AATK" "ABAT" "ABCA1" "ABCA10" "ABCA12" "ABCA13" "ABCA3" "ABCA4" "ABCA5" "ABCA6" "ABCA7" "ABCA8" "ABCA9" "ABCB1" "ABCB10" "ABCB11" "ABCB4" "ABCB5" "ABCB6" "ABCB7" "ABCB8" "ABCB9" "ABCC10" "ABCC11" "ABCC12" "ABCC2" "ABCC3" "ABCC4" "ABCC8" "ABCC9" "ABCD1" "ABCD2" "ABCD3" "ABCD4" "ABCE1" "ABCF1" "ABCF2" "ABCF3" "ABCG1" "ABCG2" "ABCG4" "ABCG5" "ABCG8" "ABHD1" "ABHD10" "ABHD11" "ABHD12" "ABHD12B" "ABHD13" "ABHD14A" "ABHD14B" "ABHD15" "ABHD2" "ABHD3" "ABHD5" "ABHD6" "ABHD8" "ABI1" "ABI2" "ABI3" "ABI3BP" "ABL1" "ABL2" "ABLIM1" "ABLIM2" "ABLIM3" "ABO" "ABR" "ABRA" "ABT1" "ABTB1" "ABTB2" "ACAA1" "ACAA2" "ACACA" "ACACB"
"lminalA" "0.0199" "0.0148" "0.0146" "0.0146" "0.0272" "0.0158" "0.0146" "0.0162" "0.0158" "0.0158" "0.0174" "0.0174" "0.0155" "0.0171" "0.0151" "0.0151" "0.0159" "0.0170" "0.0155" "0.0171" "0.0155" "0.0148" "0.0181" "0.0150" "0.0159" "0.0170" "0.0156" "0.0159" "0.0151" "0.0181" "0.0170" "0.0174" "0.0159" "0.0159" "0.0199" "0.0159" "0.0159" "0.0181" "0.0174" "0.0151" "0.0181" "0.0194" "0.0151" "0.0158" "0.0181" "0.0162" "0.0155" "0.0170" "0.0170" "0.0148" "0.0171" "0.0118" "0.0163" "0.0146" "0.0042" "0.0146" "0.0174" "0.0159" "0.0155" "0.0155" "0.0181" "0.0158" "0.0163" "0.0155" "0.0148" "0.0151" "0.0151" "0.0151" "0.0158" "0.0181" "0.0141" "0.0159" "0.0118" "0.0158" "0.0158" "0.0150" "0.0171" "0.0151" "0.0158" "0.0158" "0.0199" "0.0148" "0.0151" "0.0171" "0.0158" "0.0156" "0.0174" "0.0121" "0.0155" "0.0165" "0.0156" "0.0150" "0.0173" "0.0155" "0.0158" "0.0163" "0.0158" "0.0151" "0.0150" "0.0162"
"lminalA.1" " 0.0219" "-0.0196" " 0.0346" " 0.0346" "-0.0109" " 0.0388" " 0.0346" "-0.3763" " 0.0388" " 0.0388" "-0.0192" "-0.0192" " 0.0354" " 0.0256" " 0.0330" " 0.0330" " 0.0248" "-0.3739" " 0.0323" " 0.0248" " 0.0354" "-0.3666" " 0.0307" " 0.0248" " 0.0248" " 0.3302" " 0.0313" " 0.0248" " 0.0330" " 0.0307" " 0.3302" "-0.0114" " 0.0248" " 0.0248" " 0.0219" " 0.0248" " 0.0248" " 0.0307" " 0.5532" " 0.0330" " 0.0307" " 0.0307" " 0.0330" " 0.0248" " 0.0324" "-0.3763" " 0.0323" "-0.3821" "-0.3821" "-0.0181" " 0.0248" "-0.1659" " 0.0333" " 0.0346" " 0.0248" " 0.0346" "-0.0114" " 0.0301" " 0.0354" " 0.0323" " 0.0324" " 0.0369" " 0.0294" " 0.0354" "-0.3666" " 0.0330" " 0.0330" " 0.0330" " 0.0388" " 0.0307" " 0.0295" " 0.0301" "-0.1659" " 0.0388" " 0.0388" " 0.0248" " 0.0256" " 0.0290" " 0.0388" " 0.0388" " 0.0219" " 0.5230" " 0.0330" " 0.0248" " 0.0388" " 0.0313" " 0.5532" "-0.0181" "-0.0085" " 0.0365" " 0.0313" "-0.3950" " 0.2346" " 0.0323" " 0.0388" " 0.0333" " 0.0388" " 0.0290" " 0.0248" "-0.3763"
"lminalA.2" " 0.1721" " 0.2012" " 0.2308" " 0.2308" "-0.0430" "-0.0304" " 0.2296" "-0.3297" "-0.0304" "-0.0304" "-0.0403" "-0.0403" "-0.0150" "-0.3301" "-0.0321" "-0.0321" "-0.0461" "-0.3253" "-0.0477" "-0.0466" "-0.0150" "-0.0352" " 0.2038" "-0.0466" "-0.0461" " 0.2304" "-0.3227" "-0.0461" "-0.0321" " 0.2038" " 0.2304" "-0.3180" "-0.0461" "-0.0461" " 0.1670" "-0.0461" "-0.0461" " 0.2038" " 0.3961" "-0.0321" " 0.2038" " 0.2038" "-0.0321" " 0.0166" " 0.2038" "-0.3297" "-0.0477" "-0.3253" "-0.3253" " 0.2012" "-0.0466" "-0.0135" "-0.0352" " 0.2308" " 0.0166" " 0.2296" "-0.3180" " 0.0108" "-0.0150" "-0.0477" " 0.2038" "-0.0304" "-0.0326" "-0.0150" "-0.0352" "-0.0321" "-0.0321" "-0.0321" "-0.0304" " 0.2038" " 0.1806" " 0.0108" "-0.0135" "-0.3253" "-0.3253" "-0.0466" " 0.7610" "-0.0301" "-0.3253" "-0.0304" " 0.1670" " 0.2012" "-0.0321" "-0.0466" "-0.0304" "-0.0360" " 0.3961" " 0.2012" "-0.0150" "-0.0352" "-0.0360" "-0.3376" " 0.2022" "-0.0477" "-0.0304" "-0.0352" "-0.3253" "-0.0301" "-0.0466" "-0.3297"
"lminalA.3" " 0.0033" " 0.0022" " 0.0108" " 0.0108" "-0.1758" "-0.0032" " 0.0108" " 0.0108" "-0.0032" "-0.0032" " 0.0078" " 0.0078" "-0.0067" " 0.0052" " 0.0009" " 0.0006" " 0.0191" "-0.4742" "-0.4728" " 0.0191" "-0.0067" "-0.0048" " 0.0046" " 0.0191" " 0.0191" " 0.6819" " 0.0020" " 0.0191" " 0.0066" " 0.0046" " 0.6819" " 0.0078" " 0.0191" " 0.0191" " 0.0033" " 0.0191" " 0.0191" " 0.0046" " 0.0078" " 0.0009" " 0.0046" " 0.0046" " 0.0006" " 0.0087" " 0.0046" " 0.0108" " 0.0075" " 0.6625" " 0.6625" " 0.0022" " 0.0191" " 0.0002" "-0.0048" " 0.0108" " 0.0087" " 0.0108" " 0.0078" " 0.0027" "-0.0067" "-0.5007" " 0.0046" "-0.0032" " 0.0107" "-0.0067" "-0.0048" " 0.0009" " 0.0009" " 0.0009" "-0.0032" " 0.0046" " 0.1280" " 0.0027" " 0.0002" "-0.0032" "-0.0032" " 0.0191" " 0.0052" "-0.0033" "-0.0032" "-0.0032" " 0.0033" " 0.0022" " 0.0009" " 0.0191" "-0.0032" " 0.0020" " 0.0078" " 0.0022" "-0.0067" " 0.0041" " 0.0020" " 0.0191" " 0.6962" "-0.0019" "-0.0032" "-0.0048" "-0.0032" "-0.0033" " 0.0191" " 0.0108"
"lminalA.4" " 0.0243" "-0.0073" "-0.0050" "-0.0050" " 0.0442" " 0.3254" " 0.0124" " 0.0282" " 0.2957" " 0.2957" "-0.3223" "-0.3223" "-0.0013" " 0.0208" " 0.0153" " 0.0408" " 0.3364" "-0.3607" " 0.0150" " 0.3066" " 0.0230" "-0.3926" " 0.1006" " 0.3066" " 0.3364" " 0.2273" "-0.0044" " 0.3066" "-0.0012" " 0.0184" " 0.1713" "-0.0024" " 0.3066" " 0.3066" " 0.0281" " 0.3066" " 0.3066" "-0.0163" " 0.3276" "-0.0012" "-0.0163" " 0.0184" " 0.0408" "-0.0551" " 0.0338" " 0.0282" " 0.0150" " 0.0388" " 0.0388" " 0.0248" " 0.3066" "-0.0075" " 0.0260" "-0.0050" " 0.2410" " 0.0124" "-0.0024" " 0.0370" "-0.0013" " 0.0159" " 0.0338" " 0.5427" " 0.0227" "-0.0033" "-0.3586" " 0.0153" " 0.0153" " 0.0153" "-0.0086" " 0.0184" " 0.0345" " 0.0098" "-0.0032" "-0.3745" "-0.3745" " 0.0155" " 0.0208" " 0.0215" " 0.0340" "-0.3745" " 0.0281" " 0.0138" "-0.0012" " 0.3066" "-0.0086" " 0.0325" " 0.3182" " 0.0248" " 0.0589" "-0.3727" " 0.0325" "-0.3592" " 0.3042" " 0.0159" " 0.3254" " 0.0033" " 0.0340" " 0.0255" " 0.3066" " 0.0245"
"lminalA.5" " 0.0002" " 0.0219" "-0.3651" "-0.3651" " 0.0150" " 0.4083" " 0.0185" " 0.0185" " 0.4083" " 0.4083" " 0.0104" " 0.0104" "-0.2354" "-0.2432" " 0.0186" " 0.0216" "-0.0179" "-0.2392" "-0.0011" "-0.3674" "-0.2354" " 0.1139" " 0.1123" "-0.3674" "-0.0179" " 0.3806" " 0.0259" " 0.0156" " 0.0216" " 0.1123" " 0.3269" " 0.0289" " 0.0156" " 0.0156" " 0.0000" " 0.0156" " 0.0156" " 0.1123" " 0.5203" " 0.0216" " 0.1123" " 0.1123" " 0.0216" "-0.0130" " 0.1123" " 0.0185" "-0.0011" "-0.2370" "-0.2370" " 0.0219" "-0.0075" "-0.2358" " 0.1088" "-0.3651" "-0.0007" " 0.0185" " 0.0289" " 0.0199" "-0.2354" "-0.0011" " 0.1123" " 0.4083" " 0.3028" "-0.2354" " 0.1139" " 0.0186" " 0.0186" " 0.0186" " 0.4083" " 0.1123" " 0.3061" " 0.0199" "-0.2358" " 0.0190" " 0.0190" "-0.3674" "-0.2432" "-0.2370" " 0.0190" " 0.0190" " 0.0000" " 0.0219" " 0.0216" "-0.0075" " 0.4083" " 0.0007" " 0.5203" " 0.0219" "-0.2354" "-0.2448" " 0.0007" "-0.3674" " 0.0207" "-0.0011" " 0.4083" " 0.1088" " 0.0190" "-0.2370" "-0.3674" " 0.0185"
"lminalA.6" " 0.22150" "-0.47280" " 0.24470" " 0.24470" "-0.44930" "-0.47290" "-0.30950" "-0.46910" "-0.07130" "-0.07130" "-0.05330" "-0.05330" " 0.20610" "-0.08620" "-0.05160" "-0.04870" "-0.02200" " 0.23310" "-0.14510" "-0.38200" " 0.21190" " 0.99200" "-0.08780" " 0.40800" " 0.28740" " 0.23310" "-0.47390" " 0.50630" "-0.04870" " 0.22580" " 0.23310" "-0.07420" " 0.50630" " 0.50630" "-0.41050" " 0.50630" " 0.50630" "-0.08940" " 0.48060" "-0.17010" "-0.08940" " 0.22580" "-0.04870" " 0.03390" "-0.08780" "-0.46910" "-0.14510" " 0.23310" " 0.23310" "-0.46840" " 0.24200" "-0.21320" "-0.08250" "-0.46100" " 0.03390" " 0.68060" "-0.07420" "-0.01350" " 0.20610" "-0.14510" "-0.08780" "-0.07130" " 0.23590" " 0.20610" "-0.48370" "-0.05160" "-0.05160" "-0.05160" "-0.47510" "-0.08940" " 0.22710" "-0.01350" "-0.03475" "-0.05270" "-0.05270" " 0.38760" "-0.08620" "-0.09680" "-0.05270" "-0.05270" "-0.41050" " 0.24040" "-0.04870" " 0.24200" "-0.25680" "-0.46510" " 0.23180" " 0.25780" " 0.24920" " 0.22130" "-0.46510" "-0.46190" " 0.55920" "-0.14510" "-0.47510" "-0.08250" "-0.05270" "-0.08880" " 0.40800" "-0.46910"
"lminalA.7" " 0.8403" " 0.0294" "-0.0204" "-0.0204" "-0.0525" " 0.0230" "-0.0313" " 0.0221" " 0.0307" " 0.0307" "-0.0322" "-0.0322" " 0.0410" "-0.0122" " 0.0308" " 0.0308" "-0.0551" "-0.0301" "-0.0360" "-0.0286" " 0.0410" "-0.6037" " 0.0391" "-0.0286" "-0.0551" "-0.0144" " 0.0166" " 0.0259" " 0.0308" " 0.0361" "-0.0144" " 0.0266" " 0.0259" " 0.0259" "-0.0677" " 0.0259" " 0.0259" " 0.0444" " 0.3951" " 0.0308" " 0.0444" " 0.0361" " 0.0308" " 0.0132" " 0.0026" "-0.0519" "-0.0360" "-0.0144" "-0.0144" "-0.0157" "-0.0286" "-0.6031" " 0.0384" " 0.0345" " 0.0196" " 0.0345" " 0.0266" " 0.0246" " 0.0410" "-0.0305" " 0.0026" " 0.0307" " 0.0008" " 0.0410" "-0.6037" " 0.0022" " 0.0022" "-0.0330" " 0.0367" "-0.0489" "-0.0218" " 0.0246" "-0.6031" "-0.0343" "-0.0343" "-0.0286" "-0.0122" " 0.0289" " 0.0298" " 0.0367" "-0.0677" " 0.0132" " 0.0308" "-0.0286" " 0.0367" "-0.0320" " 0.4054" " 0.0266" "-0.0111" " 0.0146" "-0.0320" "-0.6641" " 0.0323" "-0.0305" "-0.0191" " 0.0355" " 0.0298" " 0.0289" "-0.0286" "-0.0014"
"lminalA.8" " 0.0853" " 0.1321" " 0.0996" " 0.0996" "-0.7231" " 0.1036" " 0.0996" " 0.0912" " 0.1036" " 0.1036" "-0.6991" "-0.6991" " 0.1183" "-0.7029" " 0.0888" " 0.1029" " 0.9175" "-0.7152" " 0.1058" " 0.0981" " 0.1054" "-0.7285" " 0.1026" " 0.0990" " 0.9175" " 0.5911" "-0.7106" " 0.9339" " 0.1029" " 0.1162" " 0.5911" "-0.7095" " 0.9339" " 0.9339" " 0.0853" " 0.9339" " 0.9339" " 0.1017" " 0.5939" " 0.0974" " 0.1017" " 0.0814" " 0.1029" " 0.0034" " 0.1026" " 0.0912" " 0.1058" " 0.0863" " 0.0863" " 0.1168" " 0.5975" " 0.0670" " 0.1188" " 0.0996" " 0.0052" " 0.0996" "-0.7095" " 0.1081" " 0.1183" " 0.1058" " 0.1026" " 0.1114" " 0.1107" " 0.1112" "-0.7285" " 0.0888" " 0.0888" " 0.0888" " 0.1036" " 0.1017" " 0.1067" " 0.1081" " 0.0670" " 0.1147" " 0.1147" " 0.0990" " 0.1109" " 0.1124" " 0.1147" " 0.1147" " 0.0853" " 0.1053" " 0.0894" " 0.5975" " 0.1036" "-0.7254" " 0.5880" " 0.1168" " 0.1089" " 0.1035" "-0.7254" "-0.7118" " 0.6008" " 0.0312" " 0.1036" " 0.1188" " 0.1147" " 0.0983" " 0.0990" " 0.0850"
"lminalA.9" " 0.2420" "-0.2176" " 0.1074" " 0.1074" " 0.0922" "-0.1109" " 0.1074" " 0.1088" "-0.1109" "-0.1109" "-0.2416" "-0.2416" " 0.3985" "-0.7141" "-0.2115" "-0.2115" " 0.5465" "-0.7172" "-0.7244" " 0.5456" " 0.3832" "-0.7142" "-0.7660" " 0.5923" " 0.5465" " 0.3289" "-0.2357" " 0.5913" "-0.2115" " 0.6037" " 0.2801" "-0.2260" " 0.5913" " 0.5913" " 0.1908" " 0.5913" " 0.5913" " 0.6014" " 0.0038" "-0.2115" " 0.6014" " 0.5961" "-0.2115" "-0.0025" "-0.7660" " 0.0508" " 0.5944" " 0.4968" " 0.4968" "-0.2151" " 0.5998" "-0.7193" " 0.5783" " 0.1074" "-0.0093" " 0.1074" "-0.2260" " 0.1269" " 0.3985" " 0.5980" "-0.7660" "-0.1109" " 0.0983" " 0.3985" "-0.7142" "-0.2115" "-0.2115" "-0.2115" "-0.1109" "-0.7228" " 0.6035" " 0.1269" "-0.7159" "-0.7224" "-0.7224" " 0.5528" "-0.7141" " 0.1232" " 0.3121" "-0.7224" " 0.1935" "-0.2176" "-0.2115" " 0.5456" "-0.1109" "-0.2708" " 0.5325" "-0.1943" " 0.3935" " 0.1216" "-0.2708" "-0.7542" " 0.9752" " 0.5980" "-0.1109" " 0.5783" " 0.3323" " 0.1331" " 0.5923" " 0.1074"
